"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"CMPR","Cimpress plc Ordinary Shares (Ireland)","Netherlands","2005","Consumer Discretionary","43.58"
"CMPS","COMPASS Pathways Plc American Depository Shares","United Kingdom","2020","Health Care","9.09"
"CMRE","Costamare Inc. Common Stock $0.0001 par value","Greece","2010","Consumer Discretionary","14.22"
"CNEY","CN Energy Group Inc. Ordinary Shares","China","2021","Industrials","2.3"
"CNMD","CONMED Corporation Common Stock","United States","1987","Health Care","116.29"
"CNTB","Connect Biopharma Holdings Limited American Depositary Shares","China","2021","Health Care","0.8"
"CNTG","Centogene N.V. Common Shares","Germany","2019","Health Care","2.88"
"COE","China Online Education Group American depositary shares each representing 15 Class A ordinary shares","China","2016","Consumer Discretionary","1.1"
"COF","Capital One Financial Corporation Common Stock","United States","1994","Finance","127.86"
"COKE","Coca-Cola Consolidated Inc. Common Stock","United States","1972","Consumer Staples","564.97"
"CPA","Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock","Panama","2005","Consumer Discretionary","70.7"
"CPLP","Capital Product Partners L.P. Common Units","Greece","2007","Consumer Discretionary","15.06"
"CPRI","Capri Holdings Limited Ordinary Shares","Hong Kong","2011","Consumer Discretionary","48.74"
"CPRT","Copart Inc. (DE) Common Stock","United States","1994","Consumer Discretionary","114.53"
"CPT","Camden Property Trust Common Stock","United States","1993","Real Estate","143.49"
"CRAI","CRA International Inc. Common Stock","United States","1998","Consumer Discretionary","85.73"
"CRESY","Cresud S.A.C.I.F. y A. American Depositary Shares","Argentina","1997","Finance","7.01"
"CRL","Charles River Laboratories International Inc. Common Stock","United States","2000","Consumer Discretionary","234.08"
"CRM","Salesforce Inc. Common Stock","United States","2004","Technology","160.24"
"CRSP","CRISPR Therapeutics AG Common Shares","Switzerland","2016","Health Care","58.05"
"CRTO","Criteo S.A. American Depositary Shares","France","2013","Consumer Discretionary","25.92"
"CRWD","CrowdStrike Holdings Inc. Class A Common Stock","United States","2019","Technology","159.99"
"CSTE","Caesarstone Ltd. Ordinary Shares","Israel","2012","Consumer Discretionary","9.11"
"CSTM","Constellium SE Ordinary Shares (France)","Netherlands","2013","Industrials","16.89"
"CTAS","Cintas Corporation Common Stock","United States","1983","Consumer Discretionary","398.33"
"CTLT","Catalent Inc. Common Stock","United States","2014","Health Care","103.06"
"CTOS","Custom Truck One Source Inc. Common Stock","Cayman Islands","2017","Consumer Discretionary","5.96"
"CTXS","Citrix Systems Inc. Common Stock","United States","1995","Technology","100.69"
"CVAC","CureVac N.V. Ordinary Shares","Germany","2020","Health Care","18.8"
"CYAD","Celyad Oncology SA American Depositary Shares","Belgium","2015","Health Care","2.2"
"CYBR","CyberArk Software Ltd. Ordinary Shares","Israel","2014","Technology","138.9"
"CYD","China Yuchai International Limited Common Stock","Singapore","1994","Industrials","10.5"
"CYTO","Altamira Therapeutics Ltd. Common Shares 0.01 SF (Bermuda)","Bermuda","2014","Health Care","0.73"
"DAC","Danaos Corporation Common Stock","Greece","2006","Consumer Discretionary","81.24"
"DADA","Dada Nexus Limited American Depositary Shares","China","2020","Consumer Discretionary","7.55"
