"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"KEN","Kenon Holdings Ltd. Ordinary Shares","Singapore","2015","Utilities","55.84"
"KEP","Korea Electric Power Corporation Common Stock","South Korea","1994","Utilities","9.26"
"KEYS","Keysight Technologies Inc. Common Stock","United States","2014","Industrials","145.6"
"KLAC","KLA Corporation Common Stock","United States","1980","Technology","364.85"
"KMDA","Kamada Ltd. Ordinary Shares","Israel","2013","Health Care","4.51"
"KNOP","KNOT Offshore Partners LP Common Units representing Limited Partner Interests","United Kingdom","2013","Consumer Discretionary","17.3"
"KNTK","Kinetik Holdings Inc. Class A Common Stock","United States","2017","Energy","84.04"
"KOF","Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)","Mexico","1993","Consumer Staples","59.65"
"KOS","Kosmos Energy Ltd. Common Shares (DE)","Bermuda","2011","Energy","7.74"
"KRKR","36Kr Holdings Inc. American Depositary Shares","China","2019","Consumer Discretionary","0.89"
"KRNT","Kornit Digital Ltd. Ordinary Shares","Israel","2015","Industrials","41.97"
"KRTX","Karuna Therapeutics Inc. Common Stock","United States","2019","Health Care","104.32"
"KXIN","Kaixin Auto Holdings Ordinary Shares","China","2017","Finance","0.96"
"LAMR","Lamar Advertising Company Class A Common Stock","United States","1996","Real Estate","97.95"
"LAZ","Lazard LTD. Lazard LTD. Class A Common Stock","Bermuda","2005","Finance","35.26"
"LCAA","L Catterton Asia Acquisition Corp Class A Ordinary Shares","Singapore","2021","Finance","9.79"
"LCAAU","L Catterton Asia Acquisition Corp Units","Singapore","2021","Finance","9.82"
"LCAAW","L Catterton Asia Acquisition Corp Warrant","Singapore","2021","Finance","0.2"
"LCII","LCI Industries","United States","1995","Consumer Discretionary","119.52"
"LEDS","SemiLEDS Corporation Common Stock","Taiwan","2010","Technology","2.52"
"LFC","China Life Insurance Company Limited American Depositary Shares","China","2003","Finance","7.67"
"LGIH","LGI Homes Inc. Common Stock","United States","2013","Consumer Discretionary","97.99"
"LHCG","LHC Group Common Stock","United States","2005","Health Care","166.66"
"LI","Li Auto Inc. American Depositary Shares","China","2020","Consumer Discretionary","25.07"
"LII","Lennox International Inc. Common Stock","United States","1999","Industrials","208.9"
"LITB","LightInTheBox Holding Co. Ltd. American Depositary Shares each representing 2 ordinary shares","China","2013","Consumer Discretionary","1.19"
"LIZI","LIZHI INC. American Depositary Shares","China","2020","Technology","1.18"
"LLL","JX Luxventure Limited Common Stock","China","2013","Consumer Staples","1.59"
"LNG","Cheniere Energy Inc. Common Stock","United States","2001","Utilities","136.77"
"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima ADS","Argentina","2017","Industrials","5.88"
"LOPE","Grand Canyon Education Inc. Common Stock","United States","2008","Consumer Discretionary","89.17"
"LPL","LG Display Co Ltd AMERICAN DEPOSITORY SHARES","South Korea","2004","Technology","6.99"
"LPLA","LPL Financial Holdings Inc. Common Stock","United States","2010","Finance","196.19"
"LRCX","Lam Research Corporation Common Stock","United States","1984","Technology","520.03"
"LSTR","Landstar System Inc. Common Stock","United States","1993","Industrials","151.43"
"LU","Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share","China","2020","Finance","6.29"
"LULU","lululemon athletica inc. Common Stock","Canada","2007","Consumer Discretionary","292.69"
"LVRA","Levere Holdings Corp. Class A Ordinary Shares","Cayman Islands","2021","Finance","9.77"
"LVRAU","Levere Holdings Corp. Unit","Cayman Islands","2021","Finance","9.82"
"LVRAW","Levere Holdings Corp. Warrant","Cayman Islands","2021","Finance","0.18"
"LVTX","LAVA Therapeutics N.V. Ordinary Shares","Netherlands","2021","Health Care","3"
"LX","LexinFintech Holdings Ltd. American Depositary Shares","China","2017","Finance","2.02"
"LXEH","Lixiang Education Holding Co. Ltd. American Depositary Shares","China","2020","Real Estate","2.82"
"LXFR","Luxfer Holdings PLC Ordinary Shares","United Kingdom","2012","Industrials","16.7"
"LYL","Dragon Victory International Limited Ordinary Shares","China","2017","Finance","0.91"
"MA","Mastercard Incorporated Common Stock","United States","2006","Consumer Discretionary","357.87"
"MAA","Mid-America Apartment Communities Inc. Common Stock","United States","1994","Real Estate","181"
"MANH","Manhattan Associates Inc. Common Stock","United States","1998","Technology","120.93"
"MANT","ManTech International Corporation Common Stock $0.01 Par Value","United States","2002","Technology","95.65"
"MANU","Manchester United Ltd. Class A Ordinary Shares","United Kingdom","2012","Consumer Discretionary","12.76"
"MASI","Masimo Corporation Common Stock","United States","2007","Health Care","140.43"
"MDB","MongoDB Inc. Class A Common Stock","United States","2017","Technology","237.15"
"MDJH","MDJM LTD Ordinary Share","China","2019","Finance","1.47"
"MDWD","MediWound Ltd. Ordinary Shares","Israel","2014","Consumer Discretionary","1.77"
"MEDP","Medpace Holdings Inc. Common Stock","United States","2016","Health Care","143.24"
"MELI","MercadoLibre Inc. Common Stock","Argentina","2007","Consumer Discretionary","785.88"
"MESO","Mesoblast Limited American Depositary Shares","Australia","2015","Health Care","3.51"
"MFH","Mercurity Fintech Holding Inc. ADS","China","2015","Technology","1.24"
"MGIC","Magic Software Enterprises Ltd. Ordinary Shares","Israel","1991","Technology","17.22"
"MHLA","Maiden Holdings Ltd. 6.625% Notes due 2046","Bermuda","2016","Finance","17.74"
"MHLD","Maiden Holdings Ltd.","Bermuda","2008","Finance","2.44"
"MHNC","Maiden Holdings North America Ltd. 7.75% Notes due 2043","Bermuda","2013","Finance","20.4"
"MITC","MeaTech 3D Ltd. American Depositary Shares","Israel","2021","Consumer Staples","4.2"
"MIXT","MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares","South Africa","2013","Technology","10.36"
"MKD","Molecular Data Inc. American Depositary Shares","China","2019","Consumer Discretionary","0.86"
"MKL","Markel Corporation Common Stock","United States","1986","Finance","1369.43"
"MKSI","MKS Instruments Inc. Common Stock","United States","1999","Industrials","123.5"
"MKTX","MarketAxess Holdings Inc. Common Stock","United States","2004","Finance","281.68"
"MLAC","Malacca Straits Acquisition Company Limited Class A Ordinary Shares","Hong Kong","2020","Finance","10.13"
"MLACW","Malacca Straits Acquisition Company Limited Warrants","Hong Kong","2020","Finance","0.05"
"MLCO","Melco Resorts & Entertainment Limited American Depositary Shares","Hong Kong","2006","Consumer Discretionary","5.64"
"MLM","Martin Marietta Materials Inc. Common Stock","United States","1994","Industrials","339.38"
"MMYT","MakeMyTrip Limited Ordinary Shares","India","2010","Consumer Discretionary","27.66"
"MNSO","MINISO Group Holding Limited American Depositary Shares each representing four Class A Ordinary Shares","China","2020","Consumer Discretionary","5.5"
"MOH","Molina Healthcare Inc Common Stock","United States","2003","Health Care","290.22"
"MOHO","ECMOHO Limited American Depositary Shares","China","2019","Consumer Discretionary","0.18"
"MOMO","Hello Group Inc. American Depositary Shares","China","2014","Technology","6.08"
"MOR","MorphoSys AG American Depositary Shares","Germany","2018","Health Care","5.61"
"MORN","Morningstar Inc. Common Stock","United States","2005","Finance","257.03"
"MOTS","Motus GI Holdings Inc. Common Stock","Israel","2018","Health Care","0.28"
"MPAC","Model Performance Acquisition Corp. Class A Ordinary Share","Hong Kong","2021","Finance","10.16"
"MPACU","Model Performance Acquisition Corp. Units","Hong Kong","2021","Finance","10.35"
"MPACW","Model Performance Acquisition Corp. Warrant","Hong Kong","2021","Finance","0.17"
"MPWR","Monolithic Power Systems Inc. Common Stock","United States","2004","Technology","450.39"
"MRM","MEDIROM Healthcare Technologies Inc. American Depositary Share","Japan","2020","Consumer Discretionary","7"
"MRNA","Moderna Inc. Common Stock","United States","2018","Health Care","145.33"
"MRUS","Merus N.V. Common Shares","Netherlands","2016","Health Care","18.56"
"MRVL","Marvell Technology Inc. Common Stock","Bermuda","2000","Technology","59.15"
"MSA","MSA Safety Incorporated Common Stock","United States","2000","Technology","127.49"
"MSFT","Microsoft Corporation Common Stock","United States","1986","Technology","271.87"
"MSGS","Madison Square Garden Sports Corp. Class A Common Stock (New)","United States","2015","Consumer Discretionary","163.86"
"MSM","MSC Industrial Direct Company Inc. Common Stock","United States","1995","Industrials","84.93"
"MSTR","MicroStrategy Incorporated Common Stock Class A","United States","1998","Technology","264.69"
"MTC","MMTec Inc. Common Shares","China","2019","Technology","0.39"
"MTCN","ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023","Luxembourg","2020","Industrials","77.35"
"MTD","Mettler-Toledo International Inc. Common Stock","Switzerland","1997","Health Care","1286.12"
"MTLS","Materialise NV American Depositary Shares","Belgium","2014","Technology","14.63"
"MTN","Vail Resorts Inc. Common Stock","United States","1997","Consumer Discretionary","252.21"
"MUSA","Murphy USA Inc. Common Stock","United States","2013","Utilities","249.12"
"MX","Magnachip Semiconductor Corporation Common Stock","Luxembourg","2011","Technology","19.5"
"MYRG","MYR Group Inc. Common Stock","United States","2008","Industrials","91.61"
"NAAC","North Atlantic Acquisition Corporation Class A Ordinary Share","Malta","2021","Finance","8.81"
"NAACU","North Atlantic Acquisition Corporation Unit","Malta","2021","Finance","8.71"
"NAACW","North Atlantic Acquisition Corporation Warrant","Malta","2021","Finance","0.2"
"NAT","Nordic American Tankers Limited Common Stock","Bermuda","1995","Consumer Discretionary","2.05"
"NBIX","Neurocrine Biosciences Inc. Common Stock","United States","1996","Health Care","93.49"
"NBR","Nabors Industries Ltd.","Bermuda","1951","Energy","166.77"
"NBRV","Nabriva Therapeutics plc Ordinary Shares Ireland","Ireland","2015","Health Care","0.21"
"NBTX","Nanobiotix S.A. American Depositary Shares","France","2020","Health Care","5.23"
"NCNA","NuCana plc American Depositary Share","United Kingdom","2017","Health Care","0.59"
"NCTY","The9 Limited American Depository Shares","China","2004","Consumer Discretionary","1.68"
"NETI","Eneti Inc. Common Stock","Monaco","2013","Consumer Discretionary","6.7"
"NFLX","Netflix Inc. Common Stock","United States","2002","Consumer Discretionary","197.44"
"NGMS","NeoGames S.A. Ordinary Shares","Israel","2020","Consumer Discretionary","13.13"
"NIMC","NiSource Inc Series A Corporate Units","United States","2021","Utilities","119.06"
"NISN","NiSun International Enterprise Development Group Co. Ltd. Class A Common Shares","China","2016","Industrials","0.75"
"NIU","Niu Technologies American Depositary Shares","China","2018","Consumer Discretionary","7.83"
"NLSN","Nielsen N.V. Ordinary Shares","Netherlands","2011","Consumer Discretionary","25.56"
"NLSP","NLS Pharmaceutics Ltd. Ordinary Shares","Switzerland","2021","Health Care","0.68"
"NLSPW","NLS Pharmaceutics Ltd. Warrant","Switzerland","2021","Health Care","0.23"
"NLTX","Neoleukin Therapeutics Inc. Common Stock","Canada","2014","Health Care","1"
"NMM","Navios Maritime Partners LP Common Units Representing Limited Partner Interests","Greece","2007","Consumer Discretionary","29.87"
"NNI","Nelnet Inc. Common Stock","United States","2003","Finance","84.69"
"NNOX","NANO-X IMAGING LTD Ordinary Shares","Israel","2020","Health Care","10.22"
"NOA","North American Construction Group Ltd. Common Shares (no par)","Canada","2006","Consumer Staples","13.36"
"NOAH","Noah Holdings Limited","China","2010","Finance","18.36"
"NOK","Nokia Corporation Sponsored American Depositary Shares","Finland","1994","Technology","5.01"
"NOW","ServiceNow Inc. Common Stock","United States","2012","Technology","467.47"
"NSIT","Insight Enterprises Inc. Common Stock","United States","1995","Technology","98.82"
"NTB","Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares","Bermuda","2016","Finance","31.58"
"NTZ","Natuzzi S.p.A.","Italy","1993","Consumer Discretionary","9.6"
"NVCR","NovoCure Limited Ordinary Shares","Jersey","2015","Health Care","80.38"
"NVDA","NVIDIA Corporation Common Stock","United States","1999","Technology","186.72"
"NVEE","NV5 Global Inc. Common Stock","United States","2013","Consumer Discretionary","123.18"
"NVGS","Navigator Holdings Ltd. Ordinary Shares (Marshall Islands)","Isle of Man","2013","Consumer Discretionary","13.57"
"NVMI","Nova Ltd. Ordinary Shares","Israel","2000","Technology","106.22"
"NVR","NVR Inc. Common Stock","United States","1998","Consumer Discretionary","4450.62"
"NVVE","Nuvve Holding Corp. Common Stock","China","2020","Energy","6.75"
"NVVEW","Nuvve Holding Corp. Warrant","China","2020","Energy","0.63"
"NXPI","NXP Semiconductors N.V. Common Stock","Netherlands","2010","Technology","189.76"
"NXST","Nexstar Media Group Inc. Class A Common Stock","United States","2003","Industrials","175.22"
"OBSV","ObsEva SA Ordinary Shares","Switzerland","2017","Health Care","1.81"
"OCFT","OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares","China","2019","Technology","1.37"
"OCG","Oriental Culture Holding LTD Ordinary Shares","China","2020","Consumer Discretionary","3.46"
"OEC","Orion Engineered Carbons S.A Common Shares","Luxembourg","2014","Industrials","19.31"
"OFIX","Orthofix Medical Inc. Common Stock (DE)","Curacao","1992","Health Care","27.49"
"OKTA","Okta Inc. Class A Common Stock","United States","2017","Technology","83.05"
"OLK","Olink Holding AB (publ) American Depositary Shares","Sweden","2021","Industrials","11.76"
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS","Mexico","2006","Consumer Discretionary","57.76"
"OMCL","Omnicell Inc. Common Stock ($0.001 par value)","United States","2001","Health Care","111.16"
"OPRA","Opera Limited American Depositary Shares","Norway","2018","Technology","5.34"
"OPT","Opthea Limited American Depositary Shares","Australia","2020","Health Care","7.78"
"ORLY","O'Reilly Automotive Inc. Common Stock","United States","1993","Consumer Discretionary","637.17"
"ORTX","Orchard Therapeutics plc American Depositary Shares","United Kingdom","2018","Health Care","0.46"
"OSIS","OSI Systems Inc. Common Stock (DE)","United States","1997","Technology","83.92"
"OXBR","Oxbridge Re Holdings Limited Ordinary Shares","Cayman Islands","2014","Finance","5.2"
"OXBRW","Oxbridge Re Holdings Limited Warrant expiring 3/26/2024","Cayman Islands","2014","Finance","0.41"
"PAC","Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares)","Mexico","2006","Consumer Discretionary","150.38"
"PAGS","PagSeguro Digital Ltd. Class A Common Shares","Cayman Islands","2018","Technology","15.36"
"PAQC","Provident Acquisition Corp. Class A Ordinary Shares","Hong Kong","2021","Finance","9.85"
"PAQCU","Provident Acquisition Corp. Units","Hong Kong","2021","Finance","9.95"
"PAQCW","Provident Acquisition Corp. Warrant","Hong Kong","2021","Finance","0.22"
"PAYX","Paychex Inc. Common Stock","United States","1983","Consumer Discretionary","123.83"
"PBTS","Powerbridge Technologies Co. Ltd. Ordinary Shares","China","2019","Technology","0.34"
"PCTY","Paylocity Holding Corporation Common Stock","United States","2014","Technology","174.86"
"PDD","Pinduoduo Inc. American Depositary Shares","China","2018","Consumer Discretionary","50.35"
"PERI","Perion Network Ltd. Ordinary Shares","Israel","2006","Technology","19.64"
"PETZ","TDH Holdings Inc. Common Shares","China","2017","Consumer Staples","0.22"
"PHCF","Puhui Wealth Investment Management Co. Ltd. Ordinary Shares","China","2018","Finance","0.63"
"PHUN","Phunware Inc. Common Stock","Greece","2016","Technology","1.45"
"PHUNW","Phunware Inc. Warrants","Greece","2016","Technology","0.61"
"PHVS","Pharvaris N.V. Ordinary Shares","Netherlands","2021","Health Care","17.99"
"PKG","Packaging Corporation of America Common Stock","United States","2000","Basic Materials","157.28"
"PKX","POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock)","South Korea","1994","Industrials","57.52"
"PLTK","Playtika Holding Corp. Common Stock","Israel","2021","Technology","14.81"
"PODD","Insulet Corporation Common Stock","United States","2007","Health Care","213.48"
"POOL","Pool Corporation Common Stock","United States","1995","Consumer Discretionary","398.62"
"PPBT","Purple Biotech Ltd. American Depositary Shares","Israel","2015","Health Care","2.88"
"PPHPU","PHP Ventures Acquisition Corp. Units","Malaysia","2021","Industrials","10.2"
"PPHPW","PHP Ventures Acquisition Corp. Warrants","Malaysia","2021","Industrials","0.06"
"PRFT","Perficient Inc. Common Stock","United States","1999","Technology","97.91"
"PRFX","PainReform Ltd. Ordinary Shares","Israel","2020","Health Care","0.9"
"PRI","Primerica Inc. Common Stock","United States","2010","Finance","126"
"PRK","Park National Corporation Common Stock","United States","1994","Finance","123.71"
"PRQR","ProQR Therapeutics N.V. Ordinary Shares","Netherlands","2014","Health Care","0.66"
"PRU","Prudential Financial Inc. Common Stock","United States","2001","Finance","106.25"
"PSB","PS Business Parks Inc. (MD) Common Stock","United States","1991","Real Estate","187.63"
"PT","Pintec Technology Holdings Limited American Depositary Shares","China","2018","Technology","1.71"
"PUYI","Puyi Inc. American Depository Shares","China","2019","Finance","7.98"
"PYPD","PolyPid Ltd. Ordinary Shares","Israel","2020","Health Care","5.38"
"PZZA","Papa John's International Inc. Common Stock","United States","1993","Consumer Discretionary","88.01"
"QCOM","QUALCOMM Incorporated Common Stock","United States","1991","Technology","143.22"
"QD","Qudian Inc. American Depositary Shares each representing one Class A Ordinary Share","China","2017","Technology","0.85"
"QFIN","360 DigiTech Inc. American Depositary Shares","China","2018","Finance","15.73"
"QH","Quhuo Limited American Depository Shares","China","2020","Consumer Discretionary","0.36"
"QK","Q&K International Group Limited American Depositary Shares","China","2019","Finance","1.03"
"QLI","Qilian International Holding Group Ltd. Ordinary Shares","China","2021","Health Care","1.75"
"QLYS","Qualys Inc. Common Stock","United States","2012","Technology","130.68"
"QNRX","Quoin Pharmaceuticals Ltd. American Depositary Shares","Israel","2016","Health Care","0.63"
"QTNT","Quotient Limited Ordinary Shares","Switzerland","2014","Health Care","0.39"
"QTT","Qutoutiao Inc. American Depositary Shares","China","2018","Technology","0.84"
"QURE","uniQure N.V. Ordinary Shares","Netherlands","2014","Health Care","14.36"
"RAM","Aries I Acquisition Corporation Class A Ordinary Share","Cayman Islands","2021","Finance","10.1"
"RAMMU","Aries I Acquisition Corporation Unit","Cayman Islands","2021","Finance","10.22"
"RAMMW","Aries I Acquisition Corporation Warrant","Cayman Islands","2021","Finance","0.3"
"RBOT","Vicarious Surgical Inc. Class A Common Stock","Hong Kong","2020","Health Care","4.38"
"RCON","Recon Technology Ltd. Class A Ordinary Shares","China","2009","Energy","0.8"
"RDCM","Radcom Ltd. Ordinary Shares","Israel","1997","Technology","11"
"RDWR","Radware Ltd. Ordinary Shares","Israel","1999","Consumer Discretionary","24.13"
"REDU","RISE Education Cayman Ltd American Depositary Shares","China","2017","Consumer Discretionary","1.37"
"REGN","Regeneron Pharmaceuticals Inc. Common Stock","United States","1991","Health Care","664.74"
"RELX","RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)","United Kingdom","2015","Consumer Discretionary","28.64"
"RENN","Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares","China","2011","Technology","28.41"
"RETO","ReTo Eco-Solutions Inc. Common Shares","China","2017","Consumer Discretionary","0.72"
"RFAC","RF Acquisition Corp. Class A Common Stock","Singapore","2022","Industrials","9.84"
"RGEN","Repligen Corporation Common Stock","United States","1986","Health Care","164.47"
"RH","RH Common Stock","United States","2012","Consumer Discretionary","290.08"
"RIO","Rio Tinto Plc Common Stock","Australia","2002","Basic Materials","73.44"
"RL","Ralph Lauren Corporation Common Stock","United States","1997","Consumer Discretionary","101.09"
"RNLX","Renalytix plc American Depositary Shares","United Kingdom","2020","Health Care","3.93"
"ROG","Rogers Corporation Common Stock","United States","1960","Technology","265.38"
"ROKU","Roku Inc. Class A Common Stock","United States","2017","Telecommunications","94.9"
"ROLL","RBC Bearings Incorporated Common Stock","United States","2005","Industrials","186.39"
"ROP","Roper Technologies Inc. Common Stock","United States","1992","Industrials","442.44"
"RRX","Regal Rexnord Corporation Common Stock","United States","1976","Consumer Discretionary","124.95"
"RS","Reliance Steel & Aluminum Co. Common Stock (DE)","United States","1994","Industrials","194.4"
"RSG","Republic Services Inc. Common Stock","United States","1998","Utilities","133.84"
"RWLK","ReWalk Robotics Ltd. Ordinary Shares","Israel","2014","Health Care","0.98"
"RYAAY","Ryanair Holdings plc American Depositary Shares","Ireland","1997","Consumer Discretionary","87.2"
"SAFT","Safety Insurance Group Inc. Common Stock","United States","2002","Finance","92.86"
"SB","Safe Bulkers Inc Common Stock ($0.001 par value)","Monaco","2008","Consumer Discretionary","4.76"
"SBAC","SBA Communications Corporation Class A Common Stock","United States","1999","Real Estate","336.61"
"SBBA","Scorpio Tankers Inc. 7.00% Senior Notes due 2025","Monaco","2020","Consumer Discretionary","25.15"
"SBNY","Signature Bank Common Stock","United States","2004","Finance","216.27"
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)","Brazil","2002","Utilities","9.63"
"SCOA","ScION Tech Growth I Class A Ordinary Shares","United Kingdom","2021","Finance","9.85"
"SCOAU","ScION Tech Growth I Unit","United Kingdom","2020","Finance","9.85"
"SCOAW","ScION Tech Growth I Warrant","United Kingdom","2021","Finance","0.13"
"SCOB","ScION Tech Growth II Class A Ordinary Shares","United Kingdom","2021","Finance","9.81"
"SCOBW","ScION Tech Growth II Warrants","United Kingdom","2021","Finance","0.14"
"SDH","Global Internet of People Inc. Ordinary Shares","China","2021","Consumer Discretionary","1.93"
"SEB","Seaboard Corporation Common Stock","United States","1996","Industrials","4139.38"
"SECO","Secoo Holding Limited ADS","China","2017","Miscellaneous","0.23"
"SEDG","SolarEdge Technologies Inc. Common Stock","Israel","2015","Technology","272.79"
"SEV","Sono Group N.V. Common Shares","Germany","2021","Energy","3.19"
"SFET","Safe-T Group Ltd. American Depositary Share","Israel","2018","Technology","0.58"
"SGEN","Seagen Inc. Common Stock","United States","2001","Health Care","135.68"
"SIM","Grupo Simec S.A.B. de C.V. American Depositary Shares","Mexico","1998","Industrials","29.72"
"SIMO","Silicon Motion Technology Corporation American Depositary Shares","Taiwan","2005","Technology","90.31"
"SISI","Shineco Inc. Common Stock","China","2016","Consumer Discretionary","1.75"
"SITM","SiTime Corporation Common Stock","United States","2019","Technology","213"
"SJ","Scienjoy Holding Corporation Class A Ordinary Shares ","China","2019","Technology","2.47"
"SLAB","Silicon Laboratories Inc. Common Stock","United States","2000","Technology","149.16"
"SLCR","Silver Crest Acquisition Corporation Class A Ordinary Share","China","2021","Finance","9.8"
"SLCRW","Silver Crest Acquisition Corporation Warrant","China","2021","Finance","0.25"
"SLGL","Sol-Gel Technologies Ltd. Ordinary Shares","Israel","2018","Health Care","5.88"
"SMG","Scotts Miracle-Gro Company (The) Common Stock","United States","1992","Industrials","94.62"
"SMMT","Summit Therapeutics Inc. Common Stock ","United Kingdom","2015","Consumer Discretionary","1.33"
"SNOW","Snowflake Inc. Class A Common Stock","United States","2020","Technology","127.65"
"SNPS","Synopsys Inc. Common Stock","United States","1992","Technology","319.2"
"SNX","TD SYNNEX Corporation Common Stock","United States","2003","Technology","103.85"
"SOL","Renesola Ltd. American Depsitary Shares (Each representing 10 shares)","China","2008","Technology","4.77"
"SPK","SPK Acquisition Corp. Common Stock","China","2021","Industrials","9.99"
"SPLK","Splunk Inc. Common Stock","United States","2012","Technology","102.56"
"SPNS","Sapiens International Corporation N.V. Common Shares (Cayman Islands)","Curacao","1992","Technology","25.33"
"SPOT","Spotify Technology S.A. Ordinary Shares","Luxembourg","2018","Consumer Discretionary","112.77"
"SPSC","SPS Commerce Inc. Common Stock","United States","2010","Technology","107.04"
"SQM","Sociedad Quimica y Minera S.A. Common Stock","Chile","1993","Industrials","106.17"
"SQNS","Sequans Communications S.A. American Depositary Shares","France","2011","Technology","3.3"
"SRRA","Sierra Oncology Inc. Common Stock","Canada","2015","Health Care","54.78"
"ST","Sensata Technologies Holding plc Ordinary Shares","Netherlands","2010","Industrials","48.03"
"STLA","Stellantis N.V. Common Shares","United Kingdom","2014","Consumer Discretionary","15.1"
"STNE","StoneCo Ltd. Class A Common Shares","Brazil","2018","Technology","10.04"
"STNG","Scorpio Tankers Inc. Common Shares","Monaco","2010","Consumer Discretionary","33.05"
"STX","Seagate Technology Holdings PLC Ordinary Shares (Ireland)","Ireland","2002","Technology","84.67"
"SUI","Sun Communities Inc. Common Stock","United States","1993","Real Estate","164.13"
"SWAV","ShockWave Medical Inc. Common Stock","United States","2019","Health Care","164.21"
"SXTC","China SXT Pharmaceuticals Inc. Ordinary Shares","China","2019","Health Care","2.1"
"SY","So-Young International Inc. American Depository Shares","China","2019","Technology","1.18"
"SYNA","Synaptics Incorporated Common Stock $0.001 Par Value","United States","2002","Technology","148.12"
"SYTA","Siyata Mobile Inc. Common Shares","Canada","2020","Industrials","1.13"
"SYTAW","Siyata Mobile Inc. Warrant","Canada","2020","Industrials","0.2"
"TANH","Tantech Holdings Ltd. Common Shares","China","2015","Industrials","0.27"
"TBSA","TB SA Acquisition Corp Class A Ordinary Share","Cayman Islands","2021","Finance","9.76"
"TBSAW","TB SA Acquisition Corp Warrant","Cayman Islands","2021","Finance","0.23"
"TC","TuanChe Limited American Depositary Shares","China","2018","Consumer Discretionary","2.13"
"TCOM","Trip.com Group Limited American Depositary Shares","China","2003","Consumer Discretionary","22.06"
"TDG","Transdigm Group Incorporated Common Stock","United States","2006","Industrials","605.37"
"TEAM","Atlassian Corporation Plc Class A Ordinary Shares","United Kingdom","2015","Technology","177.32"
"TEDU","Tarena International Inc. American Depositary Shares","China","2014","Consumer Discretionary","3.1"
"TGH","Textainer Group Holdings Limited Common Shares","Bermuda","2007","Consumer Discretionary","32.44"
"TIGR","UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares","China","2019","Finance","4.08"
"TINV","Tiga Acquisition Corp. Class A Ordinary Shares","Singapore","2021","Finance","10.27"
"TIOA","Tio Tech A Class A Ordinary Share","Germany","2021","Finance","9.75"
"TIOAW","Tio Tech A Warrants","Germany","2021","Finance","0.18"
"TIRX","TIAN RUIXIANG Holdings Ltd Class A Ordinary Shares","China","2021","Finance","0.71"
"TLRY","Tilray Brands Inc. Class 2 Common Stock ","Canada","2018","Health Care","4.49"
"TLSA","Tiziana Life Sciences Ltd. Common Shares","United Kingdom","2018","Health Care","0.66"
"TNK","Teekay Tankers Ltd.","Bermuda","2007","Consumer Discretionary","20.65"
"TNP","Tsakos Energy Navigation Ltd Common Shares","Greece","2002","Consumer Discretionary","10.76"
"TOPS","TOP Ships Inc. Common Stock","Greece","2004","Consumer Discretionary","0.69"
"TRIB","Trinity Biotech plc American Depositary Shares","Ireland","1992","Health Care","1.42"
"TROW","T. Rowe Price Group Inc. Common Stock","United States","1986","Finance","127.09"
"TRU","TransUnion Common Stock","United States","2015","Finance","86.81"
"TRVG","trivago N.V. American Depositary Shares","Germany","2016","Technology","1.7"
"TSCO","Tractor Supply Company Common Stock","United States","1994","Consumer Discretionary","187.36"
"TSEM","Tower Semiconductor Ltd. Ordinary Shares","Israel","1994","Technology","48.26"
"TSLA","Tesla Inc. Common Stock","United States","2010","Consumer Discretionary","758.26"
"TSM","Taiwan Semiconductor Manufacturing Company Ltd.","Taiwan","1997","Technology","95.3"
"TTEK","Tetra Tech Inc. Common Stock","United States","1991","Consumer Discretionary","134.97"
"TTWO","Take-Two Interactive Software Inc. Common Stock","United States","1997","Technology","124.53"
"TV","Grupo Televisa S.A. Common Stock","Mexico","1993","Industrials","10.21"
"TWLO","Twilio Inc. Class A Common Stock","United States","2016","Industrials","105.17"
"UAN","CVR Partners LP Common Units representing Limited Partner Interests","United States","2011","Industrials","129.7"
"UBS","UBS Group AG Registered Ordinary Shares","Switzerland","2014","Finance","18.87"
"UCL","uCloudlink Group Inc. American Depositary Shares","Hong Kong","2020","Consumer Discretionary","1.16"
"UGIC","UGI Corporation Corporate Units","United States","2021","Utilities","100.55"
"UP","Wheels Up Experience Inc. Class A Common Stock","Singapore","2020","Consumer Discretionary","2.53"
"UPC","Universe Pharmaceuticals Inc. Ordinary Shares","China","2021","Health Care","1.1"
